id,identificador,credito_motorista,frete_ida,frete_volta,frete_extra,destinos_ida,destinos_volta,destinos_extra,data_ida,data_volta,status,transportador_ida,transportador_volta,veiculo_id,motorista_id,lucro_bruto,gasto_motorista,gasto_empresa,total_despesas_viagem,troco_da_viagem,destinos_ida_origem_standard,destinos_ida_destino_standard,destinos_volta_origem_standard,destinos_volta_destino_standard
10e6a2d58811802193bfe5dee6800ef7,RRD 0D19 28/09/24 NV 03,4300.0,6975.0,17555.57,17400.0,FORTALEZA,MACEIO/AL,"AR TRANSPORTES   4600 FARINHA ( TALITA) / PETROLINA 12,800        ( TALITA) 12,500 DEP",2024-09-28,2024-10-14,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,20232.63,4150.4,17547.54,21697.94,149.6,Fortaleza - CE - Brasil,,Maceió - AL - Brasil,
10e6a2d58811807684b7fe51a17d0aa2,RRD 0D19 14/09/24 NV 02,2000.0,9800.0,7200.0,3000.0,FORTALEZA,SRA DO SOCORRO,DIARIAS GAO/ MAC TRANSPORTES,2024-09-14,2024-09-24,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,11853.42,2392.0,5754.58,8146.58,-392.0,Fortaleza - CE - Brasil,,Nossa Senhora do Socorro - SE - Brasil,
10c6a2d588118039abc2c3cd95d62557,17/09/24 RRE 1J19 NV 11,2000.0,10100.0,16585.25,9600.0,TEREZINA,ARACAJU,JOAO AUGUSTO/ VAGINHA,2024-09-17,2024-09-30,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18020.22,2729.97,15535.06,18265.03,-729.97,Terezinha - PE - Brasil,,Aracaju - SE - Brasil,
1056a2d5881180349108e22eca7aaf29,RRD 0D19 16/08/24 NV 01,4500.0,,26271.0,3500.0,,RECIFE / JOAO PESSOA,GAO TRANSPORTES/ RECIFE /MACEIO,2024-08-16,2024-09-04,FIM DE VIAGEM,,QUALITA TRANSPORTES,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,6130.15,5489.1,18151.75,23640.85,-989.1,,,Recife - PE - Brasil,
6e07bb3d8608468a950ad21a33765063,01/09/24 RRE 1J19 NV 10,4800.0,8188.0,17555.0,12200.0,TEREZINA,MACEIO,RODOGESSO/ JAV,2024-08-31,2024-09-12,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,19860.82,5297.6,12784.58,18082.18,-497.6,Terezinha - PE - Brasil,,Maceió - AL - Brasil,
b27b0041b3f3430f8faf320d051b0ce6,07/08/24 RRE 1J19 NV 09,7965.0,6975.0,17555.57,14703.0,FORTALEZA,MACEIO,CE -PI / PE- MG GESSO,2024-08-07,2024-08-27,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17604.68,8170.69,13458.2,21628.89,-205.69,Fortaleza - CE - Brasil,,Maceió - AL - Brasil,
8187425dcc2a4d98b0cd2d0cd8ba8d6a,19/07/24 RRE 1J19  NV 08,4200.0,6975.0,16250.0,12400.0,FORTALEZA,N. SRA. SOCORRO,FORTALEZA / BELEM / FERNANDO ,2024-07-19,2024-08-04,FIM DE VIAGEM,MACTRANSPORTES,BARATAO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18685.39,3573.36,13366.25,16939.61,626.64,Fortaleza - CE - Brasil,,Nossa Senhora do Socorro - SE - Brasil,
a6ba89fe03d34667ad009471777096be,12/06/24 RRE 1J19 NV 07,66917.74,6975.0,17360.67,47934.07,FORTALEZA,ARACAJU,SAL  MG / TEMARCO FORTALEZA/ SAL MG ,2024-06-12,2024-07-11,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,31620.62,39295.12,1354.0,40649.12,27622.62,Fortaleza - CE - Brasil,,Aracaju - SE - Brasil,
06eeb38e584a42ab8bec058a4aaade4d,27/05/24 RRE 1J19 NV 06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,8750.0,6300.0,16800.0,6270.0,PICOS,ITABAIANA,FC  OLIVEIRA/ CASTANHA,2024-05-27,2024-06-10,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA PRECO BOM,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,15184.02,8067.6,6118.38,14185.98,682.4,Picos - PI - Brasil,,Itabaiana - PB - Brasil,
987a4de3aad149f88c9d5097114602b2,10/05/24 RRE 1J19 NV 05,2000.0,11806.11,18800.0,,SANTA INES ,NSA  DA GLORIA,,2024-05-10,2024-05-22,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17724.53,1350.0,11531.58,12881.58,650.0,Santa Inês - MA - Brasil,,Nossa Senhora da Glória - SE - Brasil,
2b3f1432777e4263a9b20f2415fc917d,19/04/24 RRE 1J19 NV  04,29563.15,6975.0,15825.0,12000.0,FORTALEZA,ARACAJU,SAL/ MG,2024-04-19,2024-05-04,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,13538.76,17399.43,3861.81,21261.24,12163.72,Fortaleza - CE - Brasil,,Aracaju - SE - Brasil,
9dc4d80502f740599dba9f3f7d9ea722,07/04/24 RRE 1J19 NV 03,2000.0,8760.02,7360.0,,FORTALEZA,ALAGOAS/ MAJOR  IZIDORIO,,2024-04-07,2024-04-13,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,7617.16,1973.0,6529.86,8502.86,27.0,Fortaleza - CE - Brasil,,Alagoa - MG - Brasil,
05af2257ba2442c4abdba88ed5bd6111,26/02/24 RRE 1J19 NV 02,20600.0,8601.6,16700.0,42200.0,FORTALEZA,MACEIO,SAL POTYGUAR /  03 CORACOES/GAO/ SAL SOCEL ,2024-02-26,2024-03-31,FIM DE VIAGEM,MACTRANSPORTES,TRANSUL / CAFE MELITA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,30732.89,20133.79,16634.92,36768.71,466.21,Fortaleza - CE - Brasil,,Maceió - AL - Brasil,
563f2c278e824daf83f5b7d7fbf61a25,01/02/24 RRE 1J19 NV 01,27500.0,,19500.0,5000.0,,FORTALEZA,ALGENIR / SAL,2024-02-01,2024-02-20,FIM DE VIAGEM,,DOLCI & DOLCI TRANPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,1568.93,15716.4,7214.67,22931.07,11783.6,,,Fortaleza - CE - Brasil,
